model,train_cleaning,test_cleaning,score,train_test_split
xgb_12_0,delete,delete,0.45441270510401144,12
xgb_12_1,mode,delete,0.45427527985560245,12
xgb_12_4,dummy,delete,0.4552346587564967,12
xgb_12_0,delete,mode,0.47776132157960627,12
xgb_12_1,mode,mode,0.47995516768473423,12
xgb_12_4,dummy,mode,0.47734294026014146,12
xgb_12_0,delete,dummy,0.4788835866209864,12
xgb_12_1,mode,dummy,0.48026876781925143,12
xgb_12_4,dummy,dummy,0.48727227861015887,12
xgb_13_0,delete,delete,0.4511793311041614,13
xgb_13_1,mode,delete,0.4523913254097457,13
xgb_13_4,dummy,delete,0.45159619776610793,13
xgb_13_0,delete,mode,0.4729997559270226,13
xgb_13_1,mode,mode,0.48161288212331177,13
xgb_13_4,dummy,mode,0.4740679005352514,13
xgb_13_0,delete,dummy,0.47758618414677334,13
xgb_13_1,mode,dummy,0.48017253899876,13
xgb_13_4,dummy,dummy,0.4871845422642197,13
xgb_14_0,delete,delete,0.44171507542209587,14
xgb_14_1,mode,delete,0.4422219041534228,14
xgb_14_4,dummy,delete,0.44159246084505177,14
xgb_14_0,delete,mode,0.46259223792851534,14
xgb_14_1,mode,mode,0.46440858798615636,14
xgb_14_4,dummy,mode,0.4629326179040575,14
xgb_14_0,delete,dummy,0.46756146375125485,14
xgb_14_1,mode,dummy,0.4688740438206035,14
xgb_14_4,dummy,dummy,0.47604215224101176,14
xgb_15_0,delete,delete,0.47089414617506786,15
xgb_15_1,mode,delete,0.4701891947715783,15
xgb_15_4,dummy,delete,0.4701519947073507,15
xgb_15_0,delete,mode,0.4866414204423758,15
xgb_15_1,mode,mode,0.49683747285683455,15
xgb_15_4,dummy,mode,0.48700280455441614,15
xgb_15_0,delete,dummy,0.49298758585924296,15
xgb_15_1,mode,dummy,0.4940502968396687,15
xgb_15_4,dummy,dummy,0.5010044577117185,15
xgb_16_0,delete,delete,0.4578478640287895,16
xgb_16_1,mode,delete,0.45854215849840096,16
xgb_16_4,dummy,delete,0.4588397614277482,16
xgb_16_0,delete,mode,0.4791930841466564,16
xgb_16_1,mode,mode,0.4818660205202603,16
xgb_16_4,dummy,mode,0.48083562510074496,16
xgb_16_0,delete,dummy,0.48141331128531306,16
xgb_16_1,mode,dummy,0.4837413987934147,16
xgb_16_4,dummy,dummy,0.4908148116659812,16
xgb_17_0,delete,delete,0.4378442694193123,17
xgb_17_1,mode,delete,0.43640265401647504,17
xgb_17_4,dummy,delete,0.43825202962633736,17
xgb_17_0,delete,mode,0.45661975328891957,17
xgb_17_1,mode,mode,0.4576359576551384,17
xgb_17_4,dummy,mode,0.45768357869534104,17
xgb_17_0,delete,dummy,0.46115913275886944,17
xgb_17_1,mode,dummy,0.46103016669470975,17
xgb_17_4,dummy,dummy,0.47071350918986365,17
xgb_18_0,delete,delete,0.452386686571151,18
xgb_18_1,mode,delete,0.4537534310151137,18
xgb_18_4,dummy,delete,0.4536322756757408,18
xgb_18_0,delete,mode,0.46470011578250836,18
xgb_18_1,mode,mode,0.46811786746522777,18
xgb_18_4,dummy,mode,0.4669651542319465,18
xgb_18_0,delete,dummy,0.4705893976245311,18
xgb_18_1,mode,dummy,0.4729411241100927,18
xgb_18_4,dummy,dummy,0.4804970002953258,18
xgb_19_0,delete,delete,0.45434729855041567,19
xgb_19_1,mode,delete,0.4523866546613947,19
xgb_19_4,dummy,delete,0.45191276508214373,19
xgb_19_0,delete,mode,0.47521137951965675,19
xgb_19_1,mode,mode,0.48187102760456113,19
xgb_19_4,dummy,mode,0.47324843347140444,19
xgb_19_0,delete,dummy,0.4804220921829385,19
xgb_19_1,mode,dummy,0.47921707195285124,19
xgb_19_4,dummy,dummy,0.48606341270323516,19
