model,train_cleaning,test_cleaning,score,train_test_split
gbr_4_4,dummy,mode,0.46760104842391914,4
gbr_4_0,delete,dummy,0.4732628741661754,4
gbr_4_1,mode,dummy,0.47342875593293887,4
gbr_4_4,dummy,dummy,0.47709946980400164,4
gbr_5_0,delete,delete,0.4502755929132083,5
gbr_5_1,mode,delete,0.4489487390208423,5
gbr_5_4,dummy,delete,0.44879768659512265,5
gbr_5_0,delete,mode,0.4700385894408645,5
gbr_5_1,mode,mode,0.4724013615207957,5
gbr_5_4,dummy,mode,0.4690483426204288,5
gbr_5_0,delete,dummy,0.475099614981208,5
gbr_5_1,mode,dummy,0.47507337409818773,5
gbr_5_4,dummy,dummy,0.48228844290498774,5
gbr_6_0,delete,delete,0.4418977089459799,6
gbr_6_1,mode,delete,0.44214944583551297,6
gbr_6_4,dummy,delete,0.44092007202368266,6
gbr_6_0,delete,mode,0.4602855275061951,6
gbr_6_1,mode,mode,0.46348353516180396,6
gbr_6_4,dummy,mode,0.4610956100604706,6
gbr_6_0,delete,dummy,0.4648438728342975,6
gbr_6_1,mode,dummy,0.4662369309190477,6
gbr_6_4,dummy,dummy,0.47206972443030804,6
gbr_7_0,delete,delete,0.4575599068326863,7
gbr_7_1,mode,delete,0.45698945839822447,7
gbr_7_4,dummy,delete,0.45787315859796274,7
gbr_7_0,delete,mode,0.47126212703444625,7
gbr_7_1,mode,mode,0.4730303243836611,7
gbr_7_4,dummy,mode,0.47206147422763,7
gbr_7_0,delete,dummy,0.477106157063647,7
gbr_7_1,mode,dummy,0.4779614042455067,7
gbr_7_4,dummy,dummy,0.48525325636295014,7
gbr_8_0,delete,delete,0.45684344145882894,8
gbr_8_1,mode,delete,0.4596447732961001,8
gbr_8_4,dummy,delete,0.45632844990189925,8
gbr_8_0,delete,mode,0.4776226711399989,8
gbr_8_1,mode,mode,0.4812781847917922,8
gbr_8_4,dummy,mode,0.47696216002664527,8
gbr_8_0,delete,dummy,0.4789017205585653,8
gbr_8_1,mode,dummy,0.4822114637538445,8
